CPGfrac	RPKM	H3K27ac	H3K27me3	H3K36me3	H3K4me1	H3K4me3	H3K9me3	Input
10	7.5	0	7	19	8	7	6	14	9
10000	9	5	13	7	11	11	3	15	8
10001	0	19	10	8	11	28	77	5	3
10003	0	1	18	40	10	22	9	17	12
100033413	10	0	12	11	37	7	6	44	20
100033414	10	0	13	11	37	9	9	46	19
100033415	10	0	11	11	31	5	9	55	18
100033416	10	3	11	9	48	9	8	53	19
100033417	10	0	9	8	40	9	7	54	17
100033420	10	0	10	12	42	7	6	59	21
100033422	10	0	10	7	45	7	5	48	21
100033423	7	0	12	13	40	6	7	55	8
100033424	8	0	12	13	35	7	7	55	9
100033425	9	0	9	11	32	10	7	37	8
100033427	8	0	9	13	37	7	9	38	4
100033428	9	0	11	13	37	7	9	37	6
100033430	8	0	11	17	42	8	9	35	8
100033431	10	1	14	9	38	9	8	37	13
100033433	10	1	12	12	38	6	7	35	13
100033434	9	0	11	11	36	6	7	37	13
100033435	8	2	9	11	37	12	9	37	14
100033436	7	0	6	9	33	5	9	26	2
100033437	10	0	12	16	13	6	7	29	22
100033438	8	0	5	9	31	8	6	23	11
100033440	10	0	10	8	13	6	7	29	20
100033444	8	0	16	18	11	8	8	15	20
100033447	8	0	16	9	10	8	9	13	23
100033448	9	0	16	9	12	9	8	14	23
100033799	8	0	11	15	13	10	7	15	20
100033804	10	0	12	10	10	7	6	15	19
100033815	8	0	11	12	14	10	5	12	22
100033818	10	0	13	16	12	8	7	20	18
100033820	8	0	6	16	23	4	6	32	4
100033822	7.5	0	1	15	1	3	2	7	1
100036564	9	0	12	9	12	10	11	15	28
100036565	7.5	0	15	10	11	6	9	12	20
100036566	7	0	8	7	10	9	5	8	5
100036567	8	0	1	15	1	3	2	7	1
10004	10	3	14	12	9	12	5	6	21
100049587	2	1	29	9	7	52	31	4	13
10005	0	4	55	6	15	43	126	4	17
10010	0	69	28	2	8	24	61	1	1
100101266	10	0	7	11	14	10	5	19	1
100113378	10	4	10	7	44	11	7	9	13
100113379	10	0	7	7	27	5	7	5	15
100113381	10	14	10	7	39	13	7	8	18
100113384	6	0	17	22	12	8	12	12	13
100113389	10	1	10	7	32	6	7	8	13
100113391	10	0	7	4	28	4	6	6	10
100113392	10	3	10	5	34	11	6	7	14
100113393	0	9	56	4	27	42	66	19	10
100113402	10	0	11	8	34	29	4	9	12
100113404	6	0	4	9	7	2	5	9	3
